Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
15,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",50.6e-3,,,
"Parameters: a=0, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
16,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",55e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=0, h=0",,,,,,
17,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",55.06e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=0, h=900m",,,,,,
18,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",59.47e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=900m, h=0",,,,,,
19,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",62.82e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
20,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",67.23e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=900m, g=0, h=0",,,,,,
21,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",69.52e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
22,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",73.94e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
23,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",77.31e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
24,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",81.75e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=0, g=0, h=0",,,,,,
25,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",82.94e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
26,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",87.38e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
27,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",90.76e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
28,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",95.21e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
29,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",97.51e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
30,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",102e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
31,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",105.3e-3,,,
"Parameters: a=0, b=0, c=0, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
32,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",109.8e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=0, g=0, h=0",,,,,,
33,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",108.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=0, g=0, h=900m",,,,,,
34,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",113.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=0, g=900m, h=0",,,,,,
35,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",116.6e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=0, g=900m, h=900m",,,,,,
36,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",121.1e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=900m, g=0, h=0",,,,,,
37,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",123.4e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=900m, g=0, h=900m",,,,,,
38,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",127.8e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=900m, g=900m, h=0",,,,,,
39,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",131.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
40,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",135.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=0, g=0, h=0",,,,,,
41,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",136.9e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=0, g=0, h=900m",,,,,,
42,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",141.4e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=0, g=900m, h=0",,,,,,
43,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",144.8e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
44,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",149.3e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=0, h=0",,,,,,
45,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",151.6e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
46,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",156.1e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
47,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",159.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
48,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",163.9e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=0, h=0",,,,,,
49,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",164e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=0, h=900m",,,,,,
50,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",168.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=900m, h=0",,,,,,
51,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",171.9e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
52,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",176.4e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=0, h=0",,,,,,
53,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",178.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
54,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",183.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
55,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",186.6e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
56,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",191.1e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=0, h=0",,,,,,
57,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",192.3e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
58,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",196.8e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
59,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",200.2e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
60,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",204.7e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
61,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",207.1e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
62,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",211.5e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
63,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",215e-3,,,
"Parameters: a=0, b=0, c=900m, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
64,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",219.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
65,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",216e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
66,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",220.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
67,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",223.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
68,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",228.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
69,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",230.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
70,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",235.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
71,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",238.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
72,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",243.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
73,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",244.4e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
74,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",248.9e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
75,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",252.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
76,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",256.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
77,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",259.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
78,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",263.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
79,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",267.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
80,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",271.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=0",,,,,,
81,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",271.7e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=0, h=900m",,,,,,
82,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",276.3e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=0",,,,,,
83,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",279.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
84,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",284.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=0",,,,,,
85,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",286.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
86,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",291e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
87,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",294.5e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
88,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",299e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=0",,,,,,
89,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",300.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
90,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",304.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
91,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",308.2e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
92,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",312.8e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
93,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",315.1e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
94,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",319.6e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
95,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",323e-3,,,
"Parameters: a=0, b=900m, c=0, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
96,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",327.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=0",,,,,,
97,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",326.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=0, h=900m",,,,,,
98,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",331.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=0",,,,,,
99,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",334.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=0, g=900m, h=900m",,,,,,
100,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",339.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=0",,,,,,
101,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",341.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=0, h=900m",,,,,,
102,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",346e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=0",,,,,,
103,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",349.5e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
104,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",355.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=0",,,,,,
105,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",355.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=0, h=900m",,,,,,
106,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",360.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=0",,,,,,
107,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",363.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
108,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",368.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=0",,,,,,
109,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",370.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
110,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",375.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
111,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",379.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
112,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",384.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=0",,,,,,
113,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",382.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=900m",,,,,,
114,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",387.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=0",,,,,,
115,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",390.8e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
116,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",395.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=0",,,,,,
117,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",397.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
118,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",402.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
119,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",405.6e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
120,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",410.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=0",,,,,,
121,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",411.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
122,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",415.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
123,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",419.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
124,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",423.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
125,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",426.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
126,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",430.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
127,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",434.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
