Point,Corner,a,b,c,d,e,f,g,h,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
176,nom,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,,608.6e-3
177,nom,900e-3,0,900e-3,900e-3,0,0,0,0,,608.9e-3
178,nom,900e-3,0,900e-3,900e-3,0,0,0,900e-3,,613.3e-3
179,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,0,,616.7e-3
180,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,900e-3,,621.1e-3
181,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,0,,623.4e-3
182,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,900e-3,,627.8e-3
183,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,0,,631.2e-3
184,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,,635.6e-3
185,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,0,,636.8e-3
186,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,900e-3,,641.2e-3
187,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,0,,644.6e-3
188,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,,649e-3
189,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,0,,651.3e-3
190,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,,655.7e-3
191,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,,659.1e-3
192,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,663.6e-3
193,nom,900e-3,900e-3,0,0,0,0,0,0,,661.2e-3
194,nom,900e-3,900e-3,0,0,0,0,0,900e-3,,665.7e-3
195,nom,900e-3,900e-3,0,0,0,0,900e-3,0,,669e-3
196,nom,900e-3,900e-3,0,0,0,0,900e-3,900e-3,,673.4e-3
197,nom,900e-3,900e-3,0,0,0,900e-3,0,0,,675.7e-3
198,nom,900e-3,900e-3,0,0,0,900e-3,0,900e-3,,680.1e-3
199,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,0,,683.4e-3
200,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,900e-3,,687.8e-3
201,nom,900e-3,900e-3,0,0,900e-3,0,0,0,,689e-3
202,nom,900e-3,900e-3,0,0,900e-3,0,0,900e-3,,693.3e-3
203,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,0,,696.7e-3
204,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,900e-3,,701.1e-3
205,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,0,,703.5e-3
206,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,900e-3,,707.9e-3
207,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,0,,711.2e-3
208,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,,715.6e-3
209,nom,900e-3,900e-3,0,900e-3,0,0,0,0,,715.7e-3
210,nom,900e-3,900e-3,0,900e-3,0,0,0,900e-3,,720.2e-3
211,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,0,,723.5e-3
212,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,900e-3,,727.9e-3
213,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,0,,730.3e-3
214,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,900e-3,,734.6e-3
215,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,0,,738e-3
216,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,,742.5e-3
217,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,0,,743.7e-3
218,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,900e-3,,748.1e-3
219,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,0,,751.5e-3
220,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,,755.9e-3
221,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,0,,758.2e-3
222,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,,762.6e-3
223,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,,766e-3
224,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,,770.4e-3
225,nom,900e-3,900e-3,900e-3,0,0,0,0,0,,769.4e-3
226,nom,900e-3,900e-3,900e-3,0,0,0,0,900e-3,,773.9e-3
227,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,0,,777.2e-3
228,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,900e-3,,781.7e-3
229,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,0,,784e-3
230,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,900e-3,,788.4e-3
231,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,0,,791.7e-3
232,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,,796.1e-3
233,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,0,,797.3e-3
234,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,900e-3,,801.6e-3
235,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,0,,805e-3
236,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,,809.4e-3
237,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,0,,811.7e-3
238,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,,816.1e-3
239,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,,819.5e-3
240,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,,823.8e-3
241,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,0,,823.9e-3
242,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,900e-3,,828.3e-3
243,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,0,,831.6e-3
244,nom,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,,835.9e-3
245,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,0,,838.2e-3
246,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,,842.5e-3
247,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,,845.8e-3
248,nom,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,,850.2e-3
249,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,0,,851.3e-3
250,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,,855.7e-3
251,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,,858.9e-3
252,nom,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,,863.2e-3
253,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,,865.4e-3
254,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,,869.7e-3
255,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,,872.9e-3
256,nom,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,877.2e-3

